distance_to_latrine_meters,distance_to_river_meters,distance_to_farmland_meters,buffer_encroachments_count,rainfall_intensity_mm,cumulative_48h_rainfall_mm,temperature_celsius,humidity_percent,source_type_code,target_unsafe,scenario,station_name,barangay
2235.2,13.4,2372.5,1,1.9,9.5,31.7,72.8,0,1,Dry / Normal,C. Wsy (1 sample) martines spring,Hantag
2235.2,13.4,2372.5,1,0.8,2.0,28.3,76.3,0,1,Dry / Normal,C. Wsy (1 sample) martines spring,Hantag
2235.2,13.4,2372.5,1,33.0,57.2,25.1,91.6,0,1,Moderate Monsoon,C. Wsy (1 sample) martines spring,Hantag
2235.2,13.4,2372.5,1,40.0,54.2,25.6,82.2,0,1,Moderate Monsoon,C. Wsy (1 sample) martines spring,Hantag
2235.2,13.4,2372.5,1,81.3,147.5,24.5,94.0,0,1,Severe Storm Runoff,C. Wsy (1 sample) martines spring,Hantag
2235.2,13.4,2372.5,1,102.8,149.8,24.0,94.6,0,1,Severe Storm Runoff,C. Wsy (1 sample) martines spring,Hantag
2452.9,231.2,2169.5,0,2.3,8.6,29.0,71.7,1,1,Dry / Normal,E. Wsy (1 sample) danao,Hantag
2452.9,231.2,2169.5,0,3.0,3.4,31.0,67.2,1,1,Dry / Normal,E. Wsy (1 sample) danao,Hantag
2452.9,231.2,2169.5,0,17.0,46.0,28.4,89.7,1,1,Moderate Monsoon,E. Wsy (1 sample) danao,Hantag
2452.9,231.2,2169.5,0,24.1,36.1,27.4,85.3,1,1,Moderate Monsoon,E. Wsy (1 sample) danao,Hantag
2452.9,231.2,2169.5,0,68.5,133.3,23.1,98.4,1,1,Severe Storm Runoff,E. Wsy (1 sample) danao,Hantag
2452.9,231.2,2169.5,0,78.1,151.2,24.1,95.6,1,1,Severe Storm Runoff,E. Wsy (1 sample) danao,Hantag
1987.2,472.2,2722.6,0,2.7,4.2,32.8,75.1,1,1,Dry / Normal,F. Wsy (1 sample) catig,Hantag
1987.2,472.2,2722.6,0,4.7,11.9,31.0,77.0,1,1,Dry / Normal,F. Wsy (1 sample) catig,Hantag
1987.2,472.2,2722.6,0,17.7,31.6,25.2,83.9,1,1,Moderate Monsoon,F. Wsy (1 sample) catig,Hantag
1987.2,472.2,2722.6,0,26.7,42.1,27.9,84.3,1,1,Moderate Monsoon,F. Wsy (1 sample) catig,Hantag
1987.2,472.2,2722.6,0,79.7,146.8,23.5,97.6,1,1,Severe Storm Runoff,F. Wsy (1 sample) catig,Hantag
1987.2,472.2,2722.6,0,65.2,154.5,25.7,93.4,1,1,Severe Storm Runoff,F. Wsy (1 sample) catig,Hantag
1955.6,570.6,2792.2,0,0.0,6.5,31.5,74.5,1,1,Dry / Normal,G. Wsy (1 sample) casisong purok2,Hantag
1955.6,570.6,2792.2,0,3.9,4.5,29.8,66.5,1,1,Dry / Normal,G. Wsy (1 sample) casisong purok2,Hantag
1955.6,570.6,2792.2,0,40.9,63.4,26.2,80.8,1,1,Moderate Monsoon,G. Wsy (1 sample) casisong purok2,Hantag
1955.6,570.6,2792.2,0,24.3,40.8,27.6,87.7,1,1,Moderate Monsoon,G. Wsy (1 sample) casisong purok2,Hantag
1955.6,570.6,2792.2,0,122.1,185.7,23.4,97.0,1,1,Severe Storm Runoff,G. Wsy (1 sample) casisong purok2,Hantag
1955.6,570.6,2792.2,0,113.3,181.4,25.7,95.5,1,1,Severe Storm Runoff,G. Wsy (1 sample) casisong purok2,Hantag
1469.8,3267.6,5000.0,0,2.6,6.0,28.1,66.4,0,1,Dry / Normal,2nd Reservoir from Lanao Spring,Batuan
1469.8,3267.6,5000.0,0,0.2,5.3,29.6,71.6,0,1,Dry / Normal,2nd Reservoir from Lanao Spring,Batuan
1469.8,3267.6,5000.0,0,42.2,57.2,26.4,89.1,0,1,Moderate Monsoon,2nd Reservoir from Lanao Spring,Batuan
1469.8,3267.6,5000.0,0,21.9,33.4,26.0,81.9,0,1,Moderate Monsoon,2nd Reservoir from Lanao Spring,Batuan
1469.8,3267.6,5000.0,0,125.1,205.5,25.2,98.1,0,1,Severe Storm Runoff,2nd Reservoir from Lanao Spring,Batuan
1469.8,3267.6,5000.0,0,116.3,165.6,26.1,95.8,0,1,Severe Storm Runoff,2nd Reservoir from Lanao Spring,Batuan
1346.9,3148.8,5000.0,0,4.0,11.2,29.6,66.4,0,0,Dry / Normal,Jetmatic Pump (Source from Kaugbong Spring),Batuan
1346.9,3148.8,5000.0,0,1.1,4.5,32.1,76.2,0,0,Dry / Normal,Jetmatic Pump (Source from Kaugbong Spring),Batuan
1346.9,3148.8,5000.0,0,15.2,35.4,26.5,82.7,0,0,Moderate Monsoon,Jetmatic Pump (Source from Kaugbong Spring),Batuan
